"","Gender","Age","EduLevel","Major","StatsClass","StatsClassAgo","HorseRaceExposure","HorseRaceUtility","PollTrust","PollResult","LeadOverMoE","BattleForMoE","Trend","PresentationPreference","Treatment","Likelihood"
"1","Male",35,"Post-graduate or more","Social Sciences (economics, psychology, political science, etc.)","Yes","3-5 years ago","Often","Somewhat useful","Agree",1,4,3,2,"Text","1","a"
"2","Male",48,"Completed trade/vocational school","Natural Sciences (biology, physics, geology, etc.)","No",NA,"Never","Not useful","Neither Agree nor Disagree",3,2,1,4,"Graphics","1","a"
"3","Male",20,"Some college","Natural Sciences (biology, physics, geology, etc.)","Yes","1-3 years ago","Never","Somewhat useful","Disagree",3,1,2,4,"Text","1","b"
"4","Female",18,"Some college","Social Sciences (economics, psychology, political science, etc.)","No",NA,"Often","Somewhat useful","Neither Agree nor Disagree",2,1,3,4,"Text","1","a"
"5","Female",19,"HS Graduate/GED completed","Other","Yes","Less than a year ago","Occasionally","Somewhat useful","Agree",2,3,4,1,"Graphics","1","b"
"6","Male",19,"Some college","Arts & Humanities (English, art, history, etc.)","No",NA,"Often","Somewhat useful","Disagree",1,3,4,2,"Graphics","1","b"
"7","Female",21,"Some college","Natural Sciences (biology, physics, geology, etc.)","No","6+ years ago","Often","Somewhat useful","Agree",3,1,2,4,"Graphics","1","a"
"8","Male",19,"Some college","Social Sciences (economics, psychology, political science, etc.)","Yes","1-3 years ago","Often","Somewhat useful","Disagree",2,3,4,1,"Graphics","1","a"
"9","Male",21,"Some college","Social Sciences (economics, psychology, political science, etc.)","Yes","Less than a year ago","Often","Somewhat useful","Agree",1,4,2,3,"Text","1","c"
"10","Male",21,"Some college","Arts & Humanities (English, art, history, etc.)","No",NA,"Occasionally","Not useful","Disagree",2,3,4,1,"Graphics","1","a"
"11","Male",56,"Graduated college","Mathematics/Computer Science (applied math, pure math, statistics, etc.)","Yes","6+ years ago","Often","Somewhat useful","Agree",NA,NA,NA,NA,"Text","1","b"
"12","Male",20,"Some college","Arts & Humanities (English, art, history, etc.)","Yes","Less than a year ago","Never","Somewhat useful","Disagree",NA,NA,NA,NA,"Graphics","1","b"
"13","Male",20,"Some college","Social Sciences (economics, psychology, political science, etc.)","Yes","Less than a year ago","Often","Very useful","Agree",1,2,4,3,"Graphics","1","c"
"14","Female",21,"Some college","Arts & Humanities (English, art, history, etc.)","Yes","1-3 years ago","Often","Somewhat useful","Agree",4,2,3,1,"Graphics","1","b"
"15","Female",21,"Some college","Social Sciences (economics, psychology, political science, etc.)","Yes","Less than a year ago","Occasionally","Somewhat useful","Agree",3,1,2,4,"Graphics","1","b"
"16","Male",33,"Some college","Natural Sciences (biology, physics, geology, etc.)","Yes","1-3 years ago","Often","Somewhat useful","Agree",3,2,4,1,"Graphics","1","a"
"17","Male",22,"Some college","Natural Sciences (biology, physics, geology, etc.)","No",NA,"Occasionally","Somewhat useful","Neither Agree nor Disagree",3,1,2,4,"Graphics","1","b"
"18","Male",29,"Graduated college","Natural Sciences (biology, physics, geology, etc.)","Yes","6+ years ago","Often","Somewhat useful","Neither Agree nor Disagree",3,1,2,4,"Text","1","b"
"19","Female",21,"Some college","Arts & Humanities (English, art, history, etc.)","No",NA,"Occasionally","Somewhat useful","Neither Agree nor Disagree",2,1,3,4,"Graphics","1","b"
"20","Male",23,"Some college","Mathematics/Computer Science (applied math, pure math, statistics, etc.)","Yes","1-3 years ago","Occasionally","Somewhat useful","Agree",2,4,3,1,"Graphics","1","a"
"21","Female",22,"Some college","Arts & Humanities (English, art, history, etc.)","Yes","1-3 years ago","Occasionally","Somewhat useful","Agree",3,2,1,4,"Graphics","1","c"
"22","Male",22,"Post-graduate or more","Social Sciences (economics, psychology, political science, etc.)","Yes","Less than a year ago","Often","Somewhat useful","Agree",3,1,2,4,"Graphics","1","b"
"23","Male",28,"Post-graduate or more","Social Sciences (economics, psychology, political science, etc.)","Yes","1-3 years ago","Often","Somewhat useful","Agree",4,3,1,2,"Graphics","1","a"
"24","Female",21,"Some college","Natural Sciences (biology, physics, geology, etc.)","Yes","3-5 years ago","Occasionally","Somewhat useful","Disagree",3,1,4,2,"Graphics","1","a"
"25","Female",20,"Some college","Natural Sciences (biology, physics, geology, etc.)","Yes","1-3 years ago","Never","Not useful","Disagree",3,1,2,4,"Graphics","1","a"
"26","Female",21,"Some college","Natural Sciences (biology, physics, geology, etc.)","Yes","1-3 years ago","Never","Not useful","Agree",3,1,2,4,"Graphics","1","a"
"27","Male",21,"Some college","Natural Sciences (biology, physics, geology, etc.)","Yes","Less than a year ago","Occasionally","Somewhat useful","Agree",3,1,2,4,"Graphics","1","c"
"28","Male",21,"Some college","Social Sciences (economics, psychology, political science, etc.)","Yes","Less than a year ago","Often","Somewhat useful","Disagree",1,4,2,3,"Text","1","b"
"29","Male",80,"Post-graduate or more","Social Sciences (economics, psychology, political science, etc.)","No",NA,"Often","Not useful","Neither Agree nor Disagree",NA,NA,NA,NA,"Text","1","a"
"30","Male",21,"Some college","Social Sciences (economics, psychology, political science, etc.)","Yes","1-3 years ago","Often","Somewhat useful","Agree",3,4,2,1,"Graphics","1","b"
"31","Female",20,"Some college","Arts & Humanities (English, art, history, etc.)","Yes","3-5 years ago","Occasionally","Somewhat useful","Disagree",2,1,4,3,"Graphics","1","b"
"32","Female",21,"Some college","Foreign Language/Area Studies (Portuguese, African studies, European studies, etc.)","Yes","3-5 years ago","Occasionally","Somewhat useful","Disagree",3,1,2,4,"Graphics","1","b"
